90,105
84,103
80,101
76,98
74,95
71,90
70,88
67,84
64,87
61,89
58,91
56,93
53,95
50,98
47,100
45,102
42,104
40,107
37,110
35,113
32,115
31,117
29,119
28,121
26,124
24,126
23,128
20,131
18,135
15,138
13,143
12,147
9,150
9,153
7,158
6,161
5,164
5,168
4,173
3,176
2,180
2,185
2,190
3,194
2,199
3,203
3,207
5,210
5,213
7,216
7,220
9,224
10,228
12,232
13,235
15,238
16,239
18,242
20,240
24,238
26,236
29,234
32,233
35,231
37,230
39,229
42,228
44,227
48,226
51,224
54,223
56,221
59,220
62,220
63,220
63,217
63,214
62,211
62,209
62,205
61,202
61,199
61,196
61,192
62,190
62,187
62,184
62,181
62,177
62,173
62,169
62,164
63,162
63,159
65,156
65,153
66,150
67,146
68,143
68,140
70,135
71,132
72,128
74,124
76,119
78,116
80,113
83,111
85,109
86,107
88,106
87,106
