 ,Area,Mean,Min,Max,X,Y
1,0,126,126,126,268.833,75.167
2,0,255,255,255,258.167,75.167
3,0,126,126,126,242.500,74.833
4,0,96,96,96,226.500,74.833
5,0,255,255,255,215.500,74.500
6,0,8,8,8,205.500,74.500
7,0,0,0,0,196.500,73.833
8,0,255,255,255,186.500,73.500
9,0,0,0,0,173.500,75.167
10,0,85,85,85,177.500,87.833
11,0,85,85,85,181.500,100.500
12,0,149,149,149,185.500,113.833
13,0,85,85,85,196.167,119.167
14,0,255,255,255,206.833,121.500
15,0,244,244,244,216.167,127.167
16,0,126,126,126,221.167,140.167
17,0,255,255,255,223.500,150.833
18,0,107,107,107,225.833,163.167
19,0,85,85,85,227.167,172.833
20,0,85,85,85,229.500,185.167
21,0,255,255,255,230.833,195.167
22,0,85,85,85,231.500,202.167
23,0,255,255,255,231.500,210.833
24,0,85,85,85,232.500,218.500
25,0,255,255,255,232.833,226.167
26,0,85,85,85,232.500,232.833
27,0,255,255,255,232.833,237.500
28,0,0,0,0,238.167,243.500
29,0,0,0,0,247.167,245.500
30,0,255,255,255,256.500,246.167
31,0,0,0,0,264.500,246.500
32,0,53,53,53,269.833,246.500
