 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,268.966,247.227
2,0,128,128,128,261.888,246.721
3,0,120,120,120,254.304,247.227
4,0,255,255,255,243.688,246.215
5,0,255,255,255,232.565,238.632
6,0,180,180,180,231.554,246.721
7,0,255,255,255,231.048,254.304
8,0,85,85,85,229.532,261.888
9,0,255,255,255,228.015,269.977
10,0,202,202,202,224.476,277.055
11,0,255,255,255,223.971,283.122
12,0,139,139,139,221.948,289.694
13,0,255,255,255,218.915,296.772
14,0,139,139,139,217.398,302.839
15,0,255,255,255,216.387,307.894
16,0,96,96,96,214.870,313.961
17,0,255,255,255,211.837,320.533
18,0,96,96,96,209.309,326.600
19,0,107,107,107,206.276,332.161
20,0,255,255,255,202.737,337.723
21,0,85,85,85,200.209,343.284
22,0,255,255,255,196.670,345.812
23,0,255,255,255,190.603,351.878
24,0,30,30,30,199.703,356.428
25,0,0,0,0,208.298,357.440
26,0,0,0,0,217.904,359.462
27,0,0,0,0,229.532,361.484
28,0,9,9,9,236.610,362.495
29,0,0,0,0,246.721,364.012
30,0,0,0,0,254.304,365.023
31,0,90,90,90,261.888,365.023
32,0,84,84,84,270.483,366.034
