80,266
78,263
76,260
75,258
73,255
73,252
71,249
70,247
69,244
69,242
68,240
68,238
67,236
66,233
66,231
65,228
65,227
64,225
64,223
64,222
63,221
59,222
56,223
54,225
52,225
50,226
47,228
45,228
42,230
40,230
37,232
35,233
31,234
29,235
26,237
23,239
21,240
20,241
18,242
20,246
21,248
23,250
25,253
26,255
27,257
29,259
31,260
32,262
34,264
35,265
36,267
37,268
38,268
39,270
41,272
43,273
43,274
44,275
45,276
47,277
49,276
51,274
54,272
56,271
59,269
61,268
64,267
67,267
69,266
72,266
74,266
75,266
77,266
80,266
