 ,Area,Mean,Min,Max,X,Y
1,0,3,3,3,69.943,84.032
2,0,0,0,0,62.899,89.063
3,0,70,70,70,54.848,95.101
4,0,90,90,90,47.804,101.139
5,0,36,36,36,41.263,107.177
6,0,255,255,255,33.715,114.725
7,0,0,0,0,27.174,123.782
8,0,0,0,0,21.136,132.335
9,0,0,0,0,17.111,138.877
10,0,0,0,0,12.079,149.946
11,0,0,0,0,7.551,160.009
12,0,255,255,255,3.022,168.060
13,0,255,255,255,1.009,177.620
14,0,28,28,28,1.009,188.187
15,0,48,48,48,1.513,199.256
16,0,100,100,100,2.519,209.823
17,0,255,255,255,8.557,222.402
18,0,54,54,54,10.570,231.962
19,0,255,255,255,16.104,241.522
20,0,66,66,66,22.646,253.598
21,0,0,0,0,29.690,264.165
22,0,80,80,80,35.225,272.215
23,0,64,64,64,43.778,278.253
24,0,255,255,255,49.816,282.782
25,0,255,255,255,58.370,279.259
26,0,0,0,0,69.943,275.737
27,0,255,255,255,77.491,273.725
28,0,255,255,255,88.560,274.228
29,0,255,255,255,83.025,267.184
30,0,32,32,32,75.478,257.120
31,0,96,96,96,71.956,245.547
32,0,255,255,255,69.440,233.975
33,0,255,255,255,67.930,222.402
34,0,112,112,112,64.408,211.332
35,0,16,16,16,64.911,202.275
36,0,255,255,255,65.415,190.703
37,0,255,255,255,65.918,179.633
38,0,0,0,0,66.421,171.079
39,0,255,255,255,67.427,160.009
40,0,255,255,255,69.440,148.437
41,0,255,255,255,71.956,140.386
42,0,255,255,255,73.968,132.335
43,0,255,255,255,76.987,124.285
44,0,255,255,255,82.522,116.737
45,0,255,255,255,89.063,109.693
46,0,255,255,255,99.127,104.158
47,0,16,16,16,84.535,102.649
48,0,255,255,255,76.987,94.598
