 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,231.962,241.019
2,0,80,80,80,222.905,235.484
3,0,0,0,0,210.326,233.472
4,0,0,0,0,198.753,232.465
5,0,0,0,0,186.677,230.453
6,0,223,223,223,173.595,227.937
7,0,255,255,255,164.538,226.427
8,0,0,0,0,153.468,224.918
9,0,32,32,32,144.915,223.408
10,0,223,223,223,136.864,223.408
11,0,0,0,0,128.813,222.402
12,0,255,255,255,120.259,221.899
13,0,16,16,16,110.196,221.899
14,0,255,255,255,103.152,221.899
15,0,255,255,255,92.082,221.396
16,0,16,16,16,84.535,221.899
17,0,255,255,255,76.987,222.905
18,0,0,0,0,68.434,225.421
19,0,255,255,255,68.937,235.484
20,0,0,0,0,72.459,245.044
21,0,0,0,0,75.981,255.611
22,0,255,255,255,81.516,263.661
23,0,255,255,255,87.051,271.712
24,0,239,239,239,99.630,276.744
25,0,96,96,96,110.196,279.763
26,0,32,32,32,122.272,285.801
27,0,255,255,255,133.342,291.839
28,0,255,255,255,142.902,296.870
29,0,239,239,239,151.959,301.399
30,0,255,255,255,164.538,309.953
31,0,255,255,255,174.098,320.519
32,0,207,207,207,178.123,326.054
33,0,255,255,255,183.658,334.608
34,0,255,255,255,189.696,342.155
35,0,255,255,255,192.715,349.703
36,0,96,96,96,199.256,343.665
37,0,160,160,160,202.778,338.130
38,0,180,180,180,207.810,329.073
39,0,255,255,255,211.332,320.016
40,0,255,255,255,215.358,308.946
41,0,255,255,255,219.383,296.870
42,0,244,244,244,221.396,286.807
43,0,223,223,223,224.415,279.259
44,0,255,255,255,226.427,270.203
45,0,255,255,255,227.937,260.642
46,0,244,244,244,230.453,249.573
