 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,304.731,81.309
2,0,109,109,109,294.011,79.052
3,0,27,27,27,283.856,75.667
4,0,0,0,0,274.264,71.153
5,0,0,0,0,264.673,67.768
6,0,0,0,0,258.467,64.947
7,0,214,214,214,251.132,59.869
8,0,77,77,77,246.619,57.048
9,0,0,0,0,237.591,53.099
10,0,30,30,30,232.514,49.149
11,0,35,35,35,224.051,45.200
12,0,0,0,0,219.537,41.251
13,0,166,166,166,212.202,45.200
14,0,80,80,80,208.253,56.484
15,0,255,255,255,205.996,63.819
16,0,32,32,32,204.304,70.589
17,0,255,255,255,203.175,76.795
18,0,0,0,0,202.611,82.437
19,0,0,0,0,202.611,89.207
20,0,127,127,127,215.023,94.285
21,0,255,255,255,225.743,98.799
22,0,32,32,32,231.385,103.312
23,0,112,112,112,243.233,110.647
24,0,255,255,255,251.132,116.289
25,0,127,127,127,261.852,120.238
26,0,255,255,255,273.136,125.316
27,0,255,255,255,283.291,130.394
28,0,0,0,0,292.883,134.343
29,0,0,0,0,303.038,137.728
30,0,126,126,126,316.015,142.806
31,0,126,126,126,316.015,135.472
32,0,85,85,85,314.322,130.394
33,0,255,255,255,312.630,124.188
34,0,85,85,85,311.501,116.853
35,0,128,128,128,308.680,106.698
36,0,170,170,170,307.552,99.363
37,0,139,139,139,305.295,90.336
