 ,Area,Mean,Min,Max,X,Y
1,0,9,9,9,411.928,75.102
2,0,0,0,0,404.030,78.488
3,0,255,255,255,390.489,81.873
4,0,83,83,83,379.769,85.258
5,0,0,0,0,366.793,88.079
6,0,91,91,91,354.944,89.207
7,0,14,14,14,342.532,88.643
8,0,0,0,0,331.812,87.515
9,0,0,0,0,322.785,85.822
10,0,0,0,0,311.501,83.001
11,0,144,144,144,301.346,79.616
12,0,126,126,126,306.423,95.414
13,0,85,85,85,309.809,106.133
14,0,96,96,96,312.065,117.981
15,0,85,85,85,314.886,129.830
16,0,247,247,247,314.886,140.549
17,0,108,108,108,333.505,146.191
18,0,96,96,96,348.174,147.884
19,0,85,85,85,364.536,149.012
20,0,126,126,126,378.641,148.448
21,0,232,232,232,396.131,147.884
22,0,85,85,85,410.800,147.320
