 ,Area,Mean,Min,Max,X,Y
1,0,246,246,246,217.280,165.938
2,0,229,229,229,208.817,163.681
3,0,243,243,243,199.790,160.860
4,0,229,229,229,187.942,158.040
5,0,246,246,246,178.915,156.911
6,0,247,247,247,168.759,155.783
7,0,241,241,241,160.860,155.219
8,0,255,255,255,152.962,155.219
9,0,229,229,229,145.627,158.604
10,0,229,229,229,141.114,163.117
11,0,229,229,229,144.499,172.144
12,0,236,236,236,152.962,180.043
13,0,229,229,229,164.246,186.249
14,0,229,229,229,176.094,193.020
15,0,231,231,231,188.506,198.662
16,0,243,243,243,201.483,203.175
