 ,X,Y
1,216,304
2,216,293
3,216,285
4,213,280
5,210,277
6,206,272
7,201,268
8,192,264
9,186,261
10,184,261
11,177,260
12,165,258
13,156,258
14,149,261
15,144,266
16,141,273
17,137,276
18,137,282
19,136,288
20,140,293
21,142,298
22,146,305
23,152,308
24,156,313
25,162,316
26,166,316
27,176,318
28,182,318
29,193,316
30,201,313
31,206,312
32,210,309
