 ,Area,Mean,Min,Max,X,Y
1,0,16,16,16,64.500,261.000
2,0,255,255,255,52.000,266.000
3,0,159,159,159,45.500,272.000
4,0,239,239,239,38.500,276.500
5,0,163,163,163,31.000,281.000
6,0,108,108,108,38.000,292.500
7,0,0,0,0,44.500,302.500
8,0,4,4,4,54.000,312.500
9,0,37,37,37,68.000,325.500
10,0,0,0,0,80.500,335.000
11,0,0,0,0,95.000,345.000
12,0,63,63,63,108.500,352.500
13,0,93,93,93,120.000,357.000
14,0,138,138,138,132.500,361.000
15,0,0,0,0,146.000,363.500
16,0,0,0,0,153.500,363.500
17,0,255,255,255,148.000,355.500
18,0,255,255,255,142.000,347.500
19,0,255,255,255,138.000,338.000
20,0,0,0,0,133.000,331.000
21,0,255,255,255,126.500,323.500
22,0,32,32,32,118.500,314.000
23,0,255,255,255,108.500,306.000
24,0,255,255,255,100.000,297.500
25,0,0,0,0,93.500,290.500
26,0,239,239,239,88.500,285.000
27,0,255,255,255,80.500,277.500
28,0,255,255,255,71.000,269.000
