 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,153.500,139.500
2,0,117,117,117,100.500,91.000
3,0,239,239,239,87.000,96.500
4,0,16,16,16,79.000,104.000
5,0,64,64,64,71.000,114.000
6,0,255,255,255,67.000,120.500
7,0,255,255,255,63.500,129.500
8,0,32,32,32,58.000,140.000
9,0,16,16,16,53.000,154.000
10,0,159,159,159,51.000,165.500
11,0,255,255,255,48.500,175.500
12,0,255,255,255,47.000,189.000
13,0,255,255,255,49.000,205.000
14,0,255,255,255,50.000,216.500
15,0,80,80,80,53.000,227.500
16,0,80,80,80,54.500,236.500
17,0,255,255,255,58.500,245.000
18,0,255,255,255,65.500,258.500
19,0,48,48,48,77.500,254.500
20,0,0,0,0,89.000,248.500
21,0,0,0,0,100.000,244.000
22,0,16,16,16,112.000,240.000
23,0,112,112,112,122.000,236.000
24,0,239,239,239,132.000,233.000
25,0,255,255,255,142.000,232.000
26,0,0,0,0,153.500,231.000
